Year,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
2020,BfCr02,415.9777778,4.066666667,8.515555556,0.197777778,NA,14.55375,16.22222222
2020,ChCr01,985.5416667,5.533333333,8.165,0.4875,NA,12.10909091,51.12083333
2020,CmCr,404.5666667,4.822222222,8.124444444,0.194444444,NA,12.50625,8.501111111
2020,CsCr,840.8166667,5.8,7.476666667,0.4125,NA,11.50454545,104.0516667
2020,FdCr,635.9583333,5.816666667,7.855,0.31,NA,10.83363636,75.36
2020,LrCr,632.2666667,5.191666667,7.586666667,0.305833333,NA,11.68727273,60.1975
2020,NoFr01,579.5111111,3.855555556,7.995555556,0.291111111,NA,12.4575,26.72111111
2020,NoFr02,462.7555556,4.022222222,8.038888889,0.234444444,NA,13.18375,27.10333333
2020,NoFr03,406.6666667,4.9,8.174444444,0.193333333,NA,12.1975,8.641111111
2020,NrCr,1589.75,6.408333333,7.189166667,0.8025,NA,10.59,194.89
2020,OhRv01,276.7818182,5.409090909,7.779090909,0.131818182,NA,12.949,25.41909091
2020,OhRv02,264.075,5.316666667,7.915,0.126666667,NA,12.12,28.15333333
2020,PrCr,522.3583333,5.383333333,7.860833333,0.251666667,NA,12.24727273,29.70333333
2020,ShCr02,774.4888889,4.644444444,7.991111111,0.381111111,NA,12.47375,64.94777778
2020,ShCr05,477.6714286,4.242857143,8.245714286,0.232857143,NA,14.42833333,22.92857143
2020,ShCr06,803.1555556,4.733333333,7.973333333,0.394444444,NA,12.22,61.68888889
2020,WdCr,707.8166667,5.475,7.659166667,0.345833333,NA,11.26909091,77.26333333
2020,WeCr03,416.8307692,5.092307692,7.567692308,0.2,NA,11.3525,36.78076923
2020,WeCr07,414.0909091,4.963636364,7.831818182,0.199090909,NA,11.379,32.54181818
2020,WeCr09,378.1692308,5.907692308,7.86,0.182307692,NA,11.11583333,19.07076923
2020,WrCr,390.05,3.65,8.23625,0.185,NA,13.74571429,3.9975
2021,BfCr02,499.1090909,2.963636364,8.116363636,0.239090909,25.05,19.45,59.64545455
2021,ChCr01,1765.222222,3.3,6.503333333,0.842222222,48.66333333,13.78222222,149.8833333
2021,CmCr,471.45,3.26,8.232,0.225,26.506,14.722,30.115
2021,CsCr,1075.142857,3.6,7.47,0.531428571,16.63166667,21.14285714,264.5428571
2021,FdCr,679.08,3.47,8.28,0.331,5.6275,14.574,129.06
2021,LrCr,696.2,3.6,8.370833333,0.34,4.716666667,14.93083333,140.98
2021,NoFr01,779.2181818,3.454545455,8.217272727,0.379090909,7.984,14.13636364,107.7481818
2021,NoFr02,624.3909091,3.090909091,8.266363636,0.308181818,25.66,14.41,108.8118182
2021,NoFr03,452.7363636,2.845454545,8.189090909,0.216363636,10.256,13.95727273,32.42454545
2021,NrCr,2558.166667,5.1,6.65,1.153333333,27.85,13.48,649.8583333
2021,OhRv01,406.525,3.15,7.365,0.1925,99.7,17.3775,105.0675
2021,OhRv02,327.1090909,4.636363636,7.681818182,0.155454545,79.75666667,15.28090909,77.35818182
2021,PrCr,597.925,3.625,8.279166667,0.295833333,15.53166667,17.39166667,83.84666667
2021,ShCr02,1149.545455,3.4,8.350909091,0.569090909,7.676,15.14818182,221.78
2021,ShCr05,538.7,4.266666667,8.413333333,0.26,7.67,18.8,77.86
2021,ShCr06,1326.363636,3.463636364,8.351818182,0.662727273,11.752,16.39363636,269.0709091
2021,WdCr,770.55,2.9,8.2875,0.375,3.515,14.115,187.7975
2021,WeCr03,544.0083333,3.375,7.869166667,0.2625,15.10333333,16.08583333,104.6716667
2021,WeCr07,609.0454545,3.081818182,8.372727273,0.286363636,7.136,16.37090909,138.5245455
2021,WeCr09,463.2083333,3.75,8.320833333,0.2225,15.53166667,14.15583333,58.87833333
2021,WrCr,396.3272727,3.236363636,8.1,0.19,22.552,14.93909091,10.78