Site,Conductivity,Chloride,Long Run
LrCr19,632,47.77,2019
LrCr19,563.8,46.17,2019
LrCr19,601,53.99,2019
LrCr19,522.7,40.18,2019
LrCr19,556.9,31.19,2019
LrCr19,545,33.4,2019
LrCr19,552.8,34.86,2019
LrCr19,562,50.96,2019
LrCr19,577,62.98,2019
LrCr19,552,28.47,2019
LrCr19,667,43.83,2019
LrCr19,623,47.02,2019
LrCr19,616,46.22,2019
LrCr19,657,42.84,2019
LrCr19,587,40.71,2019
LrCr19,704,,2019
LrCr19,664,,2019
LrCr19,481.6,,2019
LrCr19,751,,2019
LrCr20,576,49.43,2020
LrCr20,642,,2020
LrCr20,566,,2020
LrCr20,675,,2020
LrCr20,627,38.59,2020
LrCr20,674,49.02,2020
LrCr20,518.7,65.21,2020
LrCr20,676,86.92,2020
LrCr20,528.1,54.56,2020
LrCr20,777,94.6,2020
LrCr20,634,108.77,2020
LrCr20,501.5,53.19,2020
LrCr20,636,63.46,2020
LrCr20,700,95.98,2020
LrCr20,710,86.76,2020
LrCr20,658,68.07,2020
LrCr18,326.3,,2018
LrCr18,632,,2018
LrCr18,655,,2018
LrCr18,680,,2018
LrCr18,634,,2018
LrCr18,609,,2018
LrCr18,704,,2018
LrCr18,685,,2018
LrCr18,703,,2018
LrCr21,606,96.34,2021
LrCr21,682,77.8,2021
LrCr21,721,83.68,2021
LrCr21,662,68.93,2021
LrCr21,498.4,39.6,2021
LrCr21,653,73.17,2021
LrCr21,673,70.55,2021
LrCr21,681,57.37,2021
LrCr21,554.7,48.86,2021
LrCr21,627,59.16,2021
LrCr21,630,58.62,2021
LrCr21,703,77.33,2021
LrCr21,480.6,36.75,2021