Site,Conductivity,Chloride
NrCr19,2049,216.63
NrCr19,2112,255.74
NrCr19,2478,228.85
NrCr19,2263,246.81
NrCr19,2521,194.02
NrCr19,2247,165.27
NrCr19,2932,201.12
NrCr19,3096,154.45
NrCr19,3835,
NrCr19,3750,
NrCr19,2485,
NrCr20,2742,276.53
NrCr20,3345,
NrCr20,3638,
NrCr20,3951,
NrCr20,2878,129.11
NrCr20,3710,110.28
NrCr20,3392,161.83
NrCr20,4140,195.25
NrCr20,922,124.12
NrCr20,4434,218.38
NrCr20,3025,209.82
NrCr20,3637,200.2
NrCr20,3823,205.47
NrCr21,2586,315.5
NrCr21,2510,323.46
NrCr21,2851,233.55
NrCr21,2500,306.9
NrCr21,2750,277.2
NrCr21,2415,190.75
NrCr21,746,185.27
NrCr21,2697,318.25
NrCr21,2812,148.7
NrCr21,1978,212.79
NrCr21,2293,225.26
NrCr21,2801,229.03
NrCr21,2267,136.32