Site,Conductivity,Chloride,Elm Run
WdCr19,700,62.89,2019
WdCr19,669,68.1,2019
WdCr19,703,70.7,2019
WdCr19,614,61.5,2019
WdCr19,612,41.56,2019
WdCr19,614,66.02,2019
WdCr19,595,40.14,2019
WdCr19,618,51.61,2019
WdCr19,592,62.39,2019
WdCr19,654,35.85,2019
WdCr19,710,51.89,2019
WdCr19,664,47.94,2019
WdCr19,656,51.24,2019
WdCr19,710,50.37,2019
WdCr19,708,57.55,2019
WdCr19,760,,2019
WdCr19,745,,2019
WdCr19,639,,2019
WdCr20,680,78.9,2020
WdCr20,741,53.13,2020
WdCr20,786,59.74,2020
WdCr20,808,97.08,2020
WdCr20,725,86.69,2020
WdCr20,778,50.82,2020
WdCr20,650,,2020
WdCr20,635,,2020
WdCr18,725,,2018
WdCr18,733,,2018
WdCr18,772,,2018
WdCr18,725,,2018
WdCr18,770,,2018
WdCr18,863,,2018
WdCr18,822,,2018
WdCr21,747,116.88,2021
WdCr21,623,57.18,2021
WdCr21,647,64.98,2021
WdCr21,623,50.79,2021