Site ,Conductivity
WCLrCr20,638
WCLrCr20,662.1
WCLrCr20,607.3
WCLrCr20,588
WCLrCr20,609.6
WCLrCr20,677.5
WCLrCr20,641.5
WCLrCr20,619
WCLrCr20,620.4
WCLrCr20,562
WCLrCr20,747.6
WCLrCr20,614.2
WCLrCr21,710
WCLrCr21,617.4
WCLrCr21,721
WCLrCr21,656.6
WCLrCr21,708.3
WCLrCr21,739.5
WCLrCr21,668.4
WCLrCr21,688.2
WCLrCr21,743.1
WCLrCr21,711.2
WCLrCr21,677.5
WCLrCr21,713.2
WCLrCr19,312
WCLrCr19,317
WCLrCr19,324
WCLrCr19,333
WCLrCr19,339
WCLrCr19,344
WCLrCr19,351
WCLrCr19,361
WCLrCr19,381
WCLrCr19,390
WCLrCr19,415
WCLrCr19,423